Desi/KG,Aras,DHL eCommerce,Kolay Gelsin,PTT,Sürat,TEX,Yurtiçi,Borusan,CEVA,Horoz
271,2350.51,6430.58,5087.72,,2824.72,,2840.07,3563.28,3243.55,3051.74
272,2359.08,6455.57,5107.72,,2835.26,,2850.37,3576.42,3255.54,3063.00
273,2367.64,6480.56,5127.71,,2845.80,,2860.66,3589.57,3267.53,3074.26
274,2376.21,6505.55,5147.71,,2856.34,,2870.96,3602.72,3279.52,3085.52
275,2384.78,6530.54,5167.71,,2866.88,,2881.25,3615.87,3291.51,3096.79
276,2393.34,6555.53,5187.71,,2877.43,,2891.55,3629.01,3303.50,3108.04
277,2401.91,6580.52,5207.71,,2887.97,,2901.85,3642.17,3315.48,3119.31
278,2410.48,6605.51,5227.71,,2898.51,,2912.14,3655.32,3327.47,3130.56
279,2419.04,6630.50,5247.71,,2909.05,,2922.44,3668.46,3339.46,3141.83
280,2427.61,6655.49,5267.71,,2919.60,,2932.74,3681.62,3351.45,3153.09
281,2436.18,6680.48,5287.71,,2930.14,,2943.03,3694.76,3363.44,3164.35
282,2444.74,6705.47,5307.71,,2940.68,,2953.33,3707.91,3375.43,3175.61
283,2453.31,6730.46,5327.71,,2951.22,,2963.63,3721.06,3387.42,3186.88
284,2461.88,6755.45,5347.71,,2961.76,,2973.92,3734.21,3399.41,3198.13
285,2470.44,6780.44,5367.70,,2972.31,,2984.22,3747.35,3411.40,3209.40
286,2479.01,6805.43,5387.70,,2982.85,,2994.52,3760.51,3423.39,3220.65
287,2487.58,6830.42,5407.70,,2993.39,,3004.81,3773.65,3435.38,3231.92
288,2496.14,6855.41,5427.70,,3003.93,,3015.11,3786.80,3447.37,3243.18
289,2504.71,6880.40,5447.70,,3014.47,,3025.40,3799.95,3459.36,3254.44
290,2513.28,6905.39,5467.70,,3025.02,,3035.70,3813.10,3471.35,3265.70
291,2521.84,6930.38,5487.70,,3035.56,,3046.00,3826.25,3483.34,3276.96
292,2530.41,6955.37,5507.70,,3046.10,,3056.29,3839.39,3495.33,3288.22
293,2538.98,6980.36,5527.70,,3056.64,,3066.59,3852.55,3507.32,3299.49
294,2547.54,7005.35,5547.70,,3067.18,,3076.89,3865.69,3519.31,3310.74
295,2556.11,7030.34,5567.70,,3077.73,,3087.18,3878.84,3531.30,3322.01
296,2564.68,7055.33,5587.70,,3088.27,,3097.48,3891.99,3543.29,3333.26
297,2573.24,7080.32,5607.70,,3098.81,,3107.78,3905.14,3555.28,3344.53
